order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD257850,ID0767584756,2019-07-13,Thompson,"[('iAssist Line', 1), ('Alcon 10', 1)]",11175,75.59,-37.8072116,144.95085600000004,15,9574.34,Winter,True,0.6932,screech! where you at?! good phone lucentrola has earned their stripes too. i believe zach morris used a lucentrola brick celly to spit game at kelly.,True
ORD216249,ID2247272473,2019-07-11,Nickolson,"[('Universe Note', 2), ('pearTV', 2), ('Toshika 750', 2), ('Candle Inferno', 2)]",29020,77.85,-37.8162389,144.9637619,5,27646.85,Winter,True,0.5727,"battery runs low fast the phone works fine, although the battery runs out fast and you have to charge it a lot .i like the phone but wish the battery didn't suck.",False
ORD316891,ID6167441075,2019-06-22,Nickolson,"[('Universe Note', 2), ('Thunder line', 2), ('iStream', 1)]",11410,61.41,-37.8159152,144.964706,15,9759.91,Winter,False,0.5201,two stars lcd screen went out after only a month.,False
ORD040572,ID2189145378,2019-07-16,Nickolson,"[('iAssist Line', 1), ('Olivia x460', 1), ('Candle Inferno', 2), ('Thunder line', 1)]",6490,66.05,-37.8166544,144.9585949,15,5582.55,Winter,False,0.9874,love it everything best phone,True
ORD091929,ID0145235237,2019-06-06,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 2)]",9500,76.93,144.9593639,-37.8158783,25,7201.93,Winter,True,0.9455,near perfect phone perfect phone except the fingerprint reader is terrible.,True
ORD236049,ID2207974398,2019-12-04,Thompson,"[('pearTV', 1), ('Candle Inferno', 1), ('iAssist Line', 1), ('Alcon 10', 2)]",26865,95.85,-37.8027244,144.94683659999995,5,25617.6,Summer,True,1.1077,excellent battery life. fast load of apps. large and clear screen. over all a very good phone at a reasonable cost.,True
ORD264856,ID0356087677,2019-06-26,Bakers,"[('Thunder line', 2), ('Toshika 750', 2), ('Lucent 330S', 1), ('Candle Inferno', 1)]",14660,62.64,-37.8142992,144.99819399999996,10,13256.64,Winter,False,0.5453,"five stars excellent product, and delivered on time. thank you very much!",True
ORD329359,ID0471441550,2019-01-24,Nickolson,"[('Candle Inferno', 1), ('Olivia x460', 2), ('pearTV', 1)]",9190,80.53,-37.8042068,144.9679829,0,9270.53,Summer,False,1.6076,good good,True
ORD209240,ID0395252764,2019-02-07,Bakers,"[('Alcon 10', 1), ('Universe Note', 1)]",12400,70.09,-37.7994265,144.97719709999996,0,12470.09,spring,False,1.9749,two stars didn’t work,False
ORD092985,ID0575434417,2019-12-21,Nickolson,"[('pearTV', 2), ('Alcon 10', 2)]",30520,100.19,-37.8202406,144.9854959,10,27568.19,Summer,False,1.414,"an excellent buy. hand's down, one of the best smart phone's i have ever owned.",True
ORD256861,ID0579478352,2019-01-23,thompson,"[('pearTV', 2), ('Universe Note', 1), ('Alcon 10', 1), ('Candle Inferno', 1)]",25450,74.56,-37.8202878,144.95313869999995,10,22979.56,Summer,False,1.0017,None,True
